,book_title,author,publisher,published_date,ISBN_10,ISBN_13,page_count,average_rating,rating_count,country,amount,currency,published_year
340,Jonathan Livingston Seagull,['Richard Bach'],Simon and Schuster,2014-02-14,1476754691,9781476754697,288,5,4,US,11.99,USD,2014
344,Jonathan Livingston Seagull,['Richard Bach'],Avon,1976-01-01,,,128,4,6,,,,1976
346,The Very Hungry Caterpillar,"['Eric Carle', 'National Geographic Learning', 'Leiggi']",Penguin,1987,0399208534,9780399208539,28,4.5,35,,,,1987
347,Love from the Very Hungry Caterpillar,['Eric Carle'],Grosset & Dunlap,2015,0448489325,9780448489322,32,,,,,,2015
348,The Very Hungry Caterpillar's ABC,['Eric Carle'],Penguin,2016-05-10,0399539999,9780399539992,30,3,1,,,,2016
349,The Very Hungry Caterpillar,['Eric Carle'],Philomel,2001,0399237720,9780399237720,13,4,410,,,,2001
350,The Very Hungry Caterpillar's Favorite Words,['Eric Carle'],Penguin,2007,0448447045,9780448447049,20,5,2,,,,2007
351,The Very Hungry Caterpillar's Easter Colors,['Eric Carle'],Penguin,2017-01-17,045153347X,9780451533470,16,,,,,,2017
352,The Very Hungry Caterpillar Cookbook and Cookie Cutters Kit,['Eric Carle'],Chronicle Books,2014-09-02,145212552X,9781452125527,64,,,,,,2014
354,Thanks from The Very Hungry Caterpillar,['Eric Carle'],Penguin,2020-08-18,0593384334,9780593384336,32,,,US,8.99,USD,2020
355,A Message to Garcia,['Elbert Hubbard'],Simon and Schuster,2012-11-26,1625583605,9781625583604,140,,,US,0.99,USD,2012
359,A Message to Garcia and Other Essays,['Elbert Hubbard'],Digireads.com Publishing,2010-01-01,1947844172,9781947844179,42,,,,,,2010
360,A Message to Garcia,['Elbert Hubbard'],Sound Wisdom,2021-01-19,,,80,,,,10.95,USD,2021
368,To Kill a Mockingbird,['Harper Lee'],Dramatic Publishing,1970,0871299208,9780871299208,80,4,134,,,,1970
369,Harper Lee's To Kill a Mockingbird,['Michael J. Meyer'],Scarecrow Press,2010-10-14,0810877236,9780810877238,290,3.5,15,,,,2010
370,To Kill a Mockingbird (MAXNotes Literature Guides),['Anita Price Davis'],Research & Education Assoc.,2010,0738665428,9780738665429,128,4,1,US,3.95,USD,2010
371,To Kill A Mockingbird,['Harper Lee'],Random House,2014-11-04,1473518067,9781473518063,320,5,1,,,,2014
372,To Kill a Mockingbird,['Harper Lee'],Random House,1915-06-04,1785150367,9781785150364,320,5,1,,,,1915
373,To Kill A Mockingbird,['Harper Lee'],Barrons Educational Series,1984-10-01,0812034465,9780812034462,112,,,,,,1984
374,To Kill a Mockingbird,['Harper Lee'],Harper Perennial Modern Classics,2006-05-23,0061120081,9780061120084,336,4.5,2151,,,,2006
375,Harper Lee's To Kill a Mockingbird,['Christopher Sergel'],Dramatic Publishing,1970,0871290863,9780871290861,202,5,1,,,,1970
376,To Kill a Mockingbird,"['Harper Lee', 'Fred Fordham']",William Heinemann,2018-10,178515155X,9781785151552,288,4,1,,,,2018
378,Flowers In The Attic,['V.C. Andrews'],Simon and Schuster,2011-02-08,1451636946,9781451636949,416,4.5,9,US,11.99,USD,2011
379,The Flowers in the Attic Series: The Dollangangers,['V.C. Andrews'],Simon and Schuster,2012-12-17,1476704171,9781476704173,1500,,,US,30.99,USD,2012
380,The Flowers in the Attic Saga,['V.C. Andrews'],Simon Pulse,2016-10-18,1481496875,9781481496872,2064,,,,,,2016
381,Flowers in the Attic/Petals on the Wind,['V.C. Andrews'],Simon and Schuster,2009-11-10,1442403012,9781442403017,828,4,11,,,,2009
382,Flowers in the Attic,['V.C. Andrews'],Gallery Books,2019-11-12,198210810X,9781982108106,416,,,,,,2019
